"","date","tv","opponent","arena","location","time","team"
"8844",2023-03-04,"ESPN+","Loyola Chicago","Tom Gola Arena","Home","14:00","La Salle"
"8845",2022-11-10,"ESPN+","South Dakota","Sanford Coyote Sports Center","Away","20:00","Lipscomb"
"8846",2022-11-12,"ESPN+","Campbellsville-Harrodsburg","Allen Arena","Home","17:30","Lipscomb"
"8847",2022-11-15,"ESPN+","Belmont","Allen Arena","Home","20:00","Lipscomb"
"8848",2022-11-19,"ESPN+","Notre Dame","Purcell Pavilion","Away","19:00","Lipscomb"
"8849",2022-11-19,"ACCNX","Notre Dame","Purcell Pavilion","Away","19:00","Lipscomb"
"8850",2022-11-22,"ESPN+","Covenant College","Allen Arena","Home","19:00","Lipscomb"
"8851",2022-11-23,"ESPN+","Chattanooga","McKenzie Arena","Away","16:00","Lipscomb"
"8852",2022-11-30,"ESPN+","Navy","Allen Arena","Home","12:00","Lipscomb"
"8853",2022-12-06,"ESPN+","Trevecca Nazarene","Allen Arena","Home","20:00","Lipscomb"
"8854",2022-12-10,NA,"Alabama A&M","T.M. Elmore Gymnasium","Away","20:00","Lipscomb"
"8855",2022-12-11,"ESPN+","Tennessee St.","Gentry Center","Away","15:30","Lipscomb"
"8856",2022-12-15,"ESPN+","Tennessee Tech","Allen Arena","Home","20:00","Lipscomb"
"8857",2022-12-17,NA,"Michigan","Crisler Center","Away","16:00","Lipscomb"
"8858",2022-12-20,"ESPN+","Louisville","KFC Yum! Center","Away","18:00","Lipscomb"
"8859",2022-12-20,"ACCNX","Louisville","KFC Yum! Center","Away","18:00","Lipscomb"
"8860",2022-12-31,"ESPN+","Stetson","Allen Arena","Home","20:00","Lipscomb"
"8861",2023-01-03,"ESPN+","Liberty","Liberty Arena","Away","19:00","Lipscomb"
"8862",2023-01-06,"ESPN+","North Alabama","Allen Arena","Home","20:00","Lipscomb"
"8863",2023-01-07,"ESPN+","Jacksonville","Swisher Gymnasium","Away","18:00","Lipscomb"
"8864",2023-01-13,"ESPN+","Austin Peay","Winfield Dunn Center","Away","21:00","Lipscomb"
"8865",2023-01-14,"ESPN+","Austin Peay","Allen Arena","Home","17:00","Lipscomb"
"8866",2023-01-20,"ESPN+","Eastern Kentucky","Allen Arena","Home","20:00","Lipscomb"
"8867",2023-01-21,"ESPN+","Bellarmine","Allen Arena","Home","16:00","Lipscomb"
"8868",2023-01-27,"ESPN+","Jacksonville St.","Pete Mathews Coliseum","Away","20:00","Lipscomb"
"8869",2023-01-28,"ESPN+","Kennesaw St.","KSU Convocation Center","Away","00:00","Lipscomb"
"8870",2023-02-03,NA,"Queens University","Allen Arena","Home","20:00","Lipscomb"
"8871",2023-02-04,"ESPN+","Liberty","Allen Arena","Home","17:00","Lipscomb"
"8872",2023-02-10,"ESPN+","Central Arkansas","Farris Center","Away","20:30","Lipscomb"
"8873",2023-02-12,"ESPN+","North Alabama","Flowers Hall","Away","20:15","Lipscomb"
"8874",2023-02-17,"ESPN+","North Florida","Allen Arena","Home","20:00","Lipscomb"
"8875",2023-02-18,"ESPN+","Jacksonville","Allen Arena","Home","17:00","Lipscomb"
"8876",2023-02-23,"ESPN+","Florida Gulf Coast","Alico Arena","Away","19:00","Lipscomb"
"8877",2023-02-24,"ESPN+","Stetson","Edmunds Center","Away","00:00","Lipscomb"
"8878",2022-11-08,"ESPN3","Southern Illinois","Banterra Center","Away","20:00","Little Rock"
"8879",2022-11-11,"ESPN+","Arkansas Baptist","Jack Stephens Center","Home","20:54","Little Rock"
"8880",2022-11-15,"ESPN+","Central Arkansas","Farris Center","Away","20:00","Little Rock"
"8881",2022-11-18,"ESPN+","East Tennessee St.","Freedom Hall Civic Center","Away","19:00","Little Rock"
"8882",2022-11-21,"ESPN+","Jackson St.","Jack Stephens Center","Home","19:30","Little Rock"
"8883",2022-11-23,NA,"Indiana","Simon Skjodt Assembly Hall","Away","18:30","Little Rock"
"8884",2022-11-26,"ESPN3","Miami OH","Millett Hall","Away","13:00","Little Rock"
"8885",2022-12-01,NA,"San Francisco","War Memorial at the Sobrato Center","Away","22:00","Little Rock"
"8886",2022-12-07,"ESPN+","Memphis","FedExForum","Away","20:00","Little Rock"
"8887",2022-12-13,"ESPN+","Philander Smith","Jack Stephens Center","Home","19:30","Little Rock"
"8888",2022-12-17,"ESPN+","Jacksonville St.","Pete Mathews Coliseum","Away","14:00","Little Rock"
"8889",2022-12-21,"ESPN+","Central Arkansas","Jack Stephens Center","Home","19:30","Little Rock"
"8890",2022-12-22,"ESPN+","Arkansas St.","First National Bank Arena","Away","15:00","Little Rock"
"8891",2022-12-30,"ESPN+","Tennessee Martin","Jack Stephens Center","Home","20:30","Little Rock"
"8892",2022-12-31,"ESPN+","Tennessee St.","Gentry Center","Away","16:30","Little Rock"
"8893",2023-01-06,"ESPN+","Lindenwood","Jack Stephens Center","Home","20:30","Little Rock"
"8894",2023-01-07,"ESPN+","Southeast Missouri St.","Jack Stephens Center","Home","16:30","Little Rock"
"8895",2023-01-13,"ESPN+","Southern Indiana","Screaming Eagles Arena","Away","20:30","Little Rock"
"8896",2023-01-14,"ESPN+","Eastern Illinois","Lantz Arena","Away","16:30","Little Rock"
"8897",2023-01-20,"ESPN+","Tennessee Tech","Jack Stephens Center","Home","20:30","Little Rock"
"8898",2023-01-21,"ESPN+","Tennessee St.","Jack Stephens Center","Home","16:30","Little Rock"
"8899",2023-01-27,NA,"Morehead St.","Ellis T. Johnson Arena","Away","19:00","Little Rock"
"8900",2023-01-28,"ESPN+","Tennessee Tech","Hooper Eblen Center","Away","16:00","Little Rock"
"8901",2023-02-03,"ESPN+","Southeast Missouri St.","Show Me Center","Away","20:00","Little Rock"
"8902",2023-02-04,"ESPN+","SIU Edwardsville","Jack Stephens Center","Home","16:30","Little Rock"
"8903",2023-02-10,"ESPN+","Morehead St.","Jack Stephens Center","Home","19:30","Little Rock"
"8904",2023-02-11,"ESPN+","Tennessee Martin","Kathleen and Tom Elam Center","Away","16:30","Little Rock"
"8905",2023-02-17,"ESPN+","Southern Indiana","Jack Stephens Center","Home","20:30","Little Rock"
"8906",2023-02-18,"ESPN+","Eastern Illinois","Jack Stephens Center","Home","16:30","Little Rock"
"8907",2023-02-24,"ESPN+","SIU Edwardsville","First Community Arena at the Vadalabene Center","Away","20:30","Little Rock"
"8908",2023-02-25,"ESPN+","Lindenwood","Hyland Arena","Away","16:30","Little Rock"
"8909",2022-11-08,"ESPN+","Cal Baptist","CBU Events Center","Away","22:00","Long Beach St."
"8910",2022-11-12,"PAC12","UCLA","Pauley Pavilion","Away","23:00","Long Beach St."
"8911",2022-11-14,"ESPN+","Montana St.","Walter Pyramid","Home","19:00","Long Beach St."
"8912",2022-11-20,"ESPN+","St. Katherine","Walter Pyramid","Home","19:00","Long Beach St."
"8913",2022-11-26,NA,"Oakland","Baha Mar Convention Center","Neutral","20:00","Long Beach St."
"8914",2022-12-03,"ESPN+","Utah Valley","UCCU Center","Away","16:00","Long Beach St."
"8915",2022-12-10,"ESPN+","Sacramento St.","The Nest","Away","18:30","Long Beach St."
"8916",2022-12-15,NA,"USC","Galen Center","Away","23:00","Long Beach St."
"8917",2022-12-20,"ESPN+","Life Pacific","Walter Pyramid","Home","22:00","Long Beach St."
"8918",2022-12-22,"ESPN+","Idaho","Walter Pyramid","Home","22:00","Long Beach St."
"8919",2022-12-30,"ESPN+","UC San Diego","Walter Pyramid","Home","22:00","Long Beach St."
"8920",2022-12-31,"ESPN+","UC Riverside","Walter Pyramid","Home","18:00","Long Beach St."
"8921",2023-01-06,"ESPN+","Cal State Northridge","Premier America Credit Union Arena","Away","22:00","Long Beach St."
"8922",2023-01-07,"ESPN+","UC Irvine","Bren Events Center","Away","00:00","Long Beach St."
"8923",2023-01-12,"ESPN+","Cal Poly","Walter Pyramid","Home","22:00","Long Beach St."
"8924",2023-01-15,NA,"Hawaii","Stan Sheriff Center","Away","23:59","Long Beach St."
"8925",2023-01-20,"ESPN+","Cal State Fullerton","Walter Pyramid","Home","22:00","Long Beach St."
"8926",2023-01-22,"ESPN+","UC San Diego","RIMAC Arena","Away","22:00","Long Beach St."
"8927",2023-01-27,"ESPN+","Cal Poly","Robert A. Mott Athletics Center","Away","22:00","Long Beach St."
"8928",2023-01-28,"ESPN+","UC Davis","Walter Pyramid","Home","16:00","Long Beach St."
"8929",2023-02-03,NA,"Cal State Fullerton","Titan Gym","Away","22:00","Long Beach St."
"8930",2023-02-05,"ESPN+","UC Irvine","Walter Pyramid","Home","19:00","Long Beach St."
"8931",2023-02-10,"ESPN+","UC Santa Barbara","Walter Pyramid","Home","22:00","Long Beach St."
"8932",2023-02-12,"ESPN+","Cal State Bakersfield","Icardo Center","Away","22:00","Long Beach St."
"8933",2023-02-16,"ESPN+","UC Riverside","SRC Arena","Away","22:00","Long Beach St."
"8934",2023-02-19,"ESPN+","Hawaii","Walter Pyramid","Home","19:00","Long Beach St."
"8935",2023-02-24,NA,"UC Santa Barbara","The Thunderdome","Away","22:00","Long Beach St."
"8936",2023-02-26,"ESPN+","Cal State Northridge","Walter Pyramid","Home","19:00","Long Beach St."
"8937",2023-03-03,"ESPN+","Cal State Bakersfield","Walter Pyramid","Home","22:00","Long Beach St."
"8938",2023-03-04,"ESPN+","UC Davis","University Credit Union Center","Away","16:00","Long Beach St."
"8939",2022-11-08,NA,"Utah","Jon M. Huntsman Center","Away","23:00","LIU Brooklyn"
"8940",2022-11-14,NA,"Mount St. Vincent","Steinberg Wellness Center","Home","18:00","LIU Brooklyn"
"8941",2022-11-18,"FS2","Marquette","Fiserv Forum","Away","20:30","LIU Brooklyn"
"8942",2022-11-22,NA,"South Dakota","Suncoast Credit Union Arena","Neutral","14:30","LIU Brooklyn"
"8943",2022-11-29,NA,"St. John's","Carnesecca Arena","Away","18:30","LIU Brooklyn"
"8944",2022-12-03,NA,"Towson","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8945",2022-12-06,NA,"UMass Lowell","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8946",2022-12-10,NA,"Connecticut","Gampel Pavilion","Away","12:00","LIU Brooklyn"
"8947",2022-12-15,"ESPN+","Albany","SEFCU Arena","Away","19:00","LIU Brooklyn"
"8948",2022-12-18,"ESPN+","James Madison","Atlantic Union Bank Center","Away","16:00","LIU Brooklyn"
"8949",2022-12-23,NA,"SUNY-Purchase","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8950",2022-12-30,NA,"Wagner","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8951",2022-12-31,NA,"Sacred Heart","Steinberg Wellness Center","Home","13:00","LIU Brooklyn"
"8952",2023-01-06,NA,"Central Connecticut","William H. Detrick Gymnasium","Away","19:00","LIU Brooklyn"
"8953",2023-01-07,NA,"Fairleigh Dickinson","Stratis Arena at the Rothman Center","Away","13:00","LIU Brooklyn"
"8954",2023-01-14,NA,"St. Francis PA","DeGol Arena","Away","16:00","LIU Brooklyn"
"8955",2023-01-17,NA,"St. Francis Brooklyn","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8956",2023-01-21,NA,"Stonehill","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8957",2023-01-22,NA,"Central Connecticut","Steinberg Wellness Center","Home","12:00","LIU Brooklyn"
"8958",2023-01-27,NA,"Sacred Heart","William H. Pitt Center","Away","19:00","LIU Brooklyn"
"8959",2023-01-28,NA,"St. Francis Brooklyn","Pope Physical Education Center","Away","13:00","LIU Brooklyn"
"8960",2023-02-03,NA,"Merrimack","Hammel Court","Away","19:00","LIU Brooklyn"
"8961",2023-02-10,NA,"Fairleigh Dickinson","Steinberg Wellness Center","Home","19:00","LIU Brooklyn"
"8962",2023-02-11,NA,"Wagner","Spiro Sports Center","Away","13:00","LIU Brooklyn"
"8963",2023-02-17,NA,"Stonehill","Merkert Gymnasium","Away","19:00","LIU Brooklyn"
"8964",2023-02-18,NA,"St. Francis PA","Steinberg Wellness Center","Home","13:00","LIU Brooklyn"
"8965",2023-02-25,NA,"Merrimack","Steinberg Wellness Center","Home","13:00","LIU Brooklyn"
"8966",2022-11-08,"ESPN+","Alabama","Coleman Coliseum","Away","20:30","Longwood"
"8967",2022-11-08,"SECN+","Alabama","Coleman Coliseum","Away","20:30","Longwood"
"8968",2022-11-12,"ESPN+","George Mason","EagleBank Arena","Away","19:00","Longwood"
"8969",2022-11-13,"ESPN+","Pfeiffer","Willett Hall","Home","15:00","Longwood"
"8970",2022-11-18,"ESPN+","VMI","Willett Hall","Home","17:00","Longwood"
"8971",2022-11-19,"ESPN+","Fairleigh Dickinson","Willett Hall","Home","17:00","Longwood"
"8972",2022-11-20,"ESPN+","SIU Edwardsville","Willett Hall","Home","13:30","Longwood"
"8973",2022-11-25,NA,"Mary Baldwin","Willett Hall","Home","12:00","Longwood"
"8974",2022-11-29,NA,"San Diego","Jenny Craig Pavilion","Away","21:00","Longwood"
"8975",2022-12-03,NA,"Delaware St.","Memorial Hall (Dover, DE)","Away","15:00","Longwood"
"8976",2022-12-10,"ESPN+","Wichita St.","Charles Koch Arena","Away","16:00","Longwood"
"8977",2022-12-13,NA,"St. Francis Brooklyn","Pope Physical Education Center","Away","14:00","Longwood"
"8978",2022-12-17,"ESPN+","The Citadel","McAlister Field House","Away","13:00","Longwood"
"8979",2022-12-20,"ESPN+","South Carolina St.","Willett Hall","Home","14:00","Longwood"
"8980",2022-12-29,"ESPN+","High Point","Willett Hall","Home","00:00","Longwood"
"8981",2022-12-31,"ESPN+","Campbell","John W. Pope Jr. Convocation Center","Away","14:00","Longwood"
"8982",2023-01-05,"ESPN+","Charleston Southern","Buccaneer Fieldhouse","Away","19:00","Longwood"
"8983",2023-01-07,"ESPN+","Winthrop","Willett Hall","Home","00:00","Longwood"
"8984",2023-01-11,"ESPN+","UNC Asheville","Kimmel Arena","Away","18:30","Longwood"
"8985",2023-01-14,"ESPN+","USC Upstate","Willett Hall","Home","00:00","Longwood"
"8986",2023-01-18,"ESPN+","Gardner Webb","Willett Hall","Home","00:00","Longwood"
"8987",2023-01-21,"ESPN+","Presbyterian","Ross E. Templeton P.E. Center","Away","14:00","Longwood"
"8988",2023-01-26,"ESPN+","Radford","Donald N. Dedmon Center","Away","19:00","Longwood"
"8989",2023-01-28,"ESPN+","Charleston Southern","Willett Hall","Home","00:00","Longwood"
"8990",2023-02-02,"ESPN+","Winthrop","Winthrop Coliseum","Away","19:00","Longwood"
"8991",2023-02-04,"ESPN+","Campbell","Willett Hall","Home","00:00","Longwood"
"8992",2023-02-09,"ESPN+","Presbyterian","Willett Hall","Home","19:00","Longwood"
"8993",2023-02-11,"ESPN+","High Point","Nido and Mariana Qubein Arena","Away","16:00","Longwood"
"8994",2023-02-16,"ESPN+","USC Upstate","G.B. Hodge Center","Away","19:00","Longwood"
"8995",2023-02-18,"ESPN+","Radford","Willett Hall","Home","00:00","Longwood"
"8996",2023-02-23,"ESPN+","Gardner Webb","Paul Porter Arena","Away","19:00","Longwood"
"8997",2023-02-25,"ESPN3","UNC Asheville","Willett Hall","Home","00:00","Longwood"
"8998",2022-11-08,NA,"DePaul","Wintrust Arena","Away","19:45","Loyola Maryland"
"8999",2022-11-11,NA,"Penn St.","Bryce Jordan Center","Away","19:00","Loyola Maryland"
"9000",2022-11-13,"ESPN+","Brown","Reitz Arena","Home","17:00","Loyola Maryland"
"9001",2022-11-18,"ESPN+","Washington College (MD)","Reitz Arena","Home","19:00","Loyola Maryland"
"9002",2022-11-22,"ESPN+","Clemson","Littlejohn Coliseum","Away","19:00","Loyola Maryland"
"9003",2022-11-22,"ACCNX","Clemson","Littlejohn Coliseum","Away","19:00","Loyola Maryland"
"9004",2022-11-25,NA,"Southern","The Arena at Northwest FL St","Neutral","11:00","Loyola Maryland"
"9005",2022-11-30,"ESPN+","Binghamton","Events Center (Binghamton)","Away","18:00","Loyola Maryland"
"9006",2022-12-03,NA,"Coppin St.","Reitz Arena","Home","17:00","Loyola Maryland"
"9007",2022-12-08,NA,"Hampton","Convocation Center (VA)","Away","19:00","Loyola Maryland"
"9008",2022-12-11,"ESPN+","Mount St. Mary's","Knott Arena","Away","19:00","Loyola Maryland"
"9009",2022-12-14,NA,"UMBC","Reitz Arena","Home","19:00","Loyola Maryland"
"9010",2022-12-23,NA,"Goucher","Reitz Arena","Home","19:00","Loyola Maryland"
"9011",2022-12-31,NA,"Colgate","Reitz Arena","Home","19:00","Loyola Maryland"
"9012",2023-01-02,NA,"American","Bender Arena","Away","14:00","Loyola Maryland"
"9013",2023-01-06,NA,"Army","Reitz Arena","Home","19:00","Loyola Maryland"
"9014",2023-01-08,NA,"Holy Cross","Hart Center","Away","12:00","Loyola Maryland"
"9015",2023-01-12,NA,"Bucknell","Sojka Pavilion","Away","19:00","Loyola Maryland"
"9016",2023-01-14,NA,"Navy","Reitz Arena","Home","17:00","Loyola Maryland"
"9017",2023-01-17,NA,"Lehigh","Reitz Arena","Home","19:00","Loyola Maryland"
"9018",2023-01-21,NA,"Boston University","Case Gym","Away","13:00","Loyola Maryland"
"9019",2023-01-26,NA,"Lafayette","Kirby Sports Center","Away","19:00","Loyola Maryland"
"9020",2023-01-28,NA,"Bucknell","Reitz Arena","Home","13:00","Loyola Maryland"
"9021",2023-01-31,NA,"Colgate","Cotterell Court","Away","19:00","Loyola Maryland"
"9022",2023-02-04,NA,"Boston University","Reitz Arena","Home","17:00","Loyola Maryland"
"9023",2023-02-08,NA,"Army","Christl Arena","Away","18:00","Loyola Maryland"
"9024",2023-02-12,NA,"Lehigh","Stabler Arena","Away","19:00","Loyola Maryland"
"9025",2023-02-16,NA,"Lafayette","Reitz Arena","Home","19:00","Loyola Maryland"
"9026",2023-02-18,NA,"Navy","Alumni Hall (Navy)","Away","16:00","Loyola Maryland"
"9027",2023-02-23,NA,"Holy Cross","Reitz Arena","Home","19:00","Loyola Maryland"
"9028",2023-02-25,NA,"American","Reitz Arena","Home","17:00","Loyola Maryland"
"9029",2022-11-08,"ESPN+","Fairleigh Dickinson","Joseph J. Gentile Arena","Home","20:00","Loyola Chicago"
"9030",2022-11-12,"ESPN+","Illinois Chicago","Credit Union 1 Arena","Away","20:00","Loyola Chicago"
"9031",2022-11-18,"ESPNU","Tulsa","The HTC Center","Neutral","21:30","Loyola Chicago"
"9032",2022-11-25,"ESPN+","Harvard","Lavietes Pavilion","Away","14:00","Loyola Chicago"
"9033",2022-12-01,"ESPN+","Central Arkansas","Joseph J. Gentile Arena","Home","21:00","Loyola Chicago"
"9034",2022-12-03,"ESPN+","DePaul","Joseph J. Gentile Arena","Home","16:00","Loyola Chicago"
"9035",2022-12-07,"ESPN+","Green Bay","Joseph J. Gentile Arena","Home","20:00","Loyola Chicago"
"9036",2022-12-11,"ACCN","Clemson","State Farm Arena","Neutral","19:30","Loyola Chicago"
"9037",2022-12-18,"ESPN+","Albany","Joseph J. Gentile Arena","Home","14:00","Loyola Chicago"
"9038",2022-12-23,NA,"Stanford","Kaiser Permanente Arena","Neutral","22:00","Loyola Chicago"
"9039",2022-12-31,"ESPN+","George Washington","Joseph J. Gentile Arena","Home","16:00","Loyola Chicago"
"9040",2023-01-05,NA,"Davidson","John M. Belk Arena","Away","19:00","Loyola Chicago"
"9041",2023-01-07,"ESPN+","George Mason","EagleBank Arena","Away","14:00","Loyola Chicago"
"9042",2023-01-11,NA,"VCU","Joseph J. Gentile Arena","Home","19:00","Loyola Chicago"
"9043",2023-01-14,NA,"Saint Joseph's","Michael J. Hagan '85 Arena","Away","12:30","Loyola Chicago"
"9044",2023-01-19,NA,"Saint Louis","Joseph J. Gentile Arena","Home","19:00","Loyola Chicago"
"9045",2023-01-21,"ESPN+","St. Bonaventure","Joseph J. Gentile Arena","Home","16:00","Loyola Chicago"
"9046",2023-01-26,"ESPN+","Duquesne","UPMC Cooper Fieldhouse","Away","19:00","Loyola Chicago"
"9047",2023-02-01,NA,"Dayton","UD Arena","Away","21:00","Loyola Chicago"
"9048",2023-02-04,NA,"George Mason","Joseph J. Gentile Arena","Home","14:30","Loyola Chicago"
"9049",2023-02-09,"ESPN+","Saint Joseph's","Joseph J. Gentile Arena","Home","21:00","Loyola Chicago"
"9050",2023-02-11,"ESPNU","Richmond","Robins Center","Away","16:00","Loyola Chicago"
"9051",2023-02-15,"ESPN+","Massachusetts","William D. Mullins Memorial Center","Away","19:00","Loyola Chicago"
"9052",2023-02-18,"ESPN2","Dayton","Joseph J. Gentile Arena","Home","19:00","Loyola Chicago"
"9053",2023-02-23,"ESPN+","Fordham","Joseph J. Gentile Arena","Home","21:00","Loyola Chicago"
"9054",2023-02-25,NA,"Saint Louis","Chaifetz Arena","Away","18:00","Loyola Chicago"
"9055",2023-03-02,NA,"Rhode Island","Joseph J. Gentile Arena","Home","21:00","Loyola Chicago"
"9056",2023-03-04,"ESPN+","La Salle","Tom Gola Arena","Away","14:00","Loyola Chicago"
"9057",2022-11-08,NA,"Life Pacific","Gersten Pavilion","Home","22:00","Loyola Marymount"
"9058",2022-11-11,NA,"UC Riverside","Gersten Pavilion","Home","22:00","Loyola Marymount"
